"label
0-平;1-升CPU;2-升内存;3-升CPU内存;-1-降CPU;-2-降内存;-3-降CPU内存",机器名,业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,创建/变更时间
1,hfa-callcenter-Nginx-kzx-0002,10.3.3.70,CALLCENTER,Nginx,B,Nginx,8C32G,hfa,KFCS,ARM,100%,37%,34%,9%,2020-12-21
-1,sza-callcenter-Nginx-kzx-0001,10.3.1.181,CALLCENTER,Nginx,B,Nginx,32C64G,sza,KFCS,x86,79%,85%,60%,23%,2020-09-05
3,sza-callcenter-Nginx-kzx-0002,10.3.1.218,CALLCENTER,Nginx,B,Nginx,32C64G,sza,KFCS,x86,37%,76%,54%,42%,2020-06-28
1,szb-callcenter-Nginx-kzx-0001,10.3.2.197,CALLCENTER,Nginx,B,Nginx,32C64G,szb,KFCS,ARM,25%,17%,23%,0%,2020-09-14
3,szb-callcenter-Nginx-kzx-0002,10.3.2.38,CALLCENTER,Nginx,B,Nginx,32C64G,szb,KFCS,ARM,13%,75%,0%,0%,2020-12-08
0,hfa-callcenter-gateway-kzx-0001,10.2.3.248,CALLCENTER,gateway,B,gateway,2C4G,hfa,SCYW,x86,12%,45%,0%,0%,2020-02-06
-1,hfa-callcenter-gateway-kzx-0002,10.2.3.29,CALLCENTER,gateway,B,gateway,2C4G,hfa,SCYW,x86,13%,53%,0%,0%,2020-09-27
-3,sza-callcenter-gateway-kzx-0001,10.2.1.220,CALLCENTER,gateway,B,gateway,2C4G,sza,SCYW,ARM,89%,61%,76%,52%,2020-01-15
1,sza-callcenter-gateway-kzx-0002,10.2.1.35,CALLCENTER,gateway,B,gateway,2C4G,sza,SCYW,ARM,58%,47%,21%,8%,2020-06-02
1,szb-callcenter-gateway-kzx-0001,10.2.2.129,CALLCENTER,gateway,B,gateway,2C4G,szb,SCYW,x86,41%,16%,51%,9%,2020-11-03
-1,szb-callcenter-gateway-kzx-0002,10.2.2.235,CALLCENTER,gateway,B,gateway,2C4G,szb,SCYW,x86,39%,100%,17%,1%,2020-04-05
2,hfa-callcenter-service-kzx-0001,10.2.3.213,CALLCENTER,service,B,service,2C4G,hfa,SCYW,C86,22%,40%,9%,0%,2020-12-08
2,hfa-callcenter-service-kzx-0002,10.2.3.203,CALLCENTER,service,B,service,2C4G,hfa,SCYW,C86,100%,67%,13%,3%,2020-09-10
1,sza-callcenter-service-kzx-0001,10.2.1.245,CALLCENTER,service,B,service,2C4G,sza,SCYW,C86,92%,97%,71%,65%,2020-12-28
-3,sza-callcenter-service-kzx-0002,10.2.1.33,CALLCENTER,service,B,service,2C4G,sza,SCYW,C86,70%,42%,66%,26%,2020-08-28
-3,szb-callcenter-service-kzx-0001,10.2.2.130,CALLCENTER,service,B,service,2C4G,szb,SCYW,ARM,10%,26%,0%,0%,2020-04-14
1,szb-callcenter-service-kzx-0002,10.2.2.29,CALLCENTER,service,B,service,2C4G,szb,SCYW,ARM,29%,60%,27%,0%,2020-05-17
2,hfa-callcenter-web-kzx-0001,10.8.3.219,CALLCENTER,web,B,web,2C8G,hfa,OA,ARM,63%,39%,3%,1%,2020-08-03
0,hfa-callcenter-web-kzx-0002,10.8.3.132,CALLCENTER,web,B,web,2C8G,hfa,OA,ARM,13%,100%,0%,0%,2020-10-08
-3,sza-callcenter-web-kzx-0001,10.8.1.35,CALLCENTER,web,B,web,32C64G,sza,OA,ARM,97%,78%,68%,16%,2020-07-21
2,sza-callcenter-web-kzx-0002,10.8.1.235,CALLCENTER,web,B,web,32C64G,sza,OA,ARM,21%,84%,94%,0%,2020-12-17
1,szb-callcenter-web-kzx-0001,10.8.2.37,CALLCENTER,web,B,web,32C64G,szb,OA,C86,63%,65%,13%,5%,2020-09-25
0,szb-callcenter-web-kzx-0002,10.8.2.122,CALLCENTER,web,B,web,32C64G,szb,OA,C86,36%,78%,3%,1%,2020-10-18
-1,bja-chat-Kafka-kzx-0001,10.1.4.249,CHAT,Kafka,B,Kafka,8C16G,bja,AG,C86,72%,70%,71%,55%,2020-06-11
-2,bja-chat-Kafka-kzx-0002,10.1.4.211,CHAT,Kafka,B,Kafka,8C16G,bja,AG,C86,28%,10%,59%,0%,2020-09-28
1,bja-chat-Kafka-kzx-0003,10.1.4.25,CHAT,Kafka,B,Kafka,8C16G,bja,AG,C86,11%,95%,0%,0%,2020-03-11
2,bjb-chat-Kafka-kzx-0001,10.1.5.126,CHAT,Kafka,B,Kafka,8C16G,bjb,AG,ARM,30%,35%,27%,15%,2020-08-18
1,bjb-chat-Kafka-kzx-0002,10.1.5.144,CHAT,Kafka,B,Kafka,8C16G,bjb,AG,ARM,22%,15%,58%,0%,2020-12-21
-1,bjb-chat-Kafka-kzx-0003,10.1.5.46,CHAT,Kafka,B,Kafka,8C16G,bjb,AG,ARM,18%,48%,0%,0%,2020-08-01
-1,hfa-chat-Kafka-kzx-0001,10.1.3.41,CHAT,Kafka,B,Kafka,4C16G,hfa,AG,x86,64%,22%,36%,23%,2020-03-26
-2,hfa-chat-Kafka-kzx-0002,10.1.3.102,CHAT,Kafka,B,Kafka,4C16G,hfa,AG,x86,38%,12%,88%,16%,2020-12-10
0,hfa-chat-Kafka-kzx-0003,10.1.3.248,CHAT,Kafka,B,Kafka,4C16G,hfa,AG,x86,21%,79%,26%,0%,2020-02-11
-3,bja-chat-MGR-kzx-0001,10.6.4.170,CHAT,MGR,B,MGR,4C8G,bja,WEB,C86,68%,53%,61%,59%,2020-11-23
1,bja-chat-MGR-kzx-0002,10.6.4.199,CHAT,MGR,B,MGR,4C8G,bja,WEB,C86,97%,44%,15%,2%,2020-07-21
-1,bjb-chat-MGR-kzx-0001,10.6.5.177,CHAT,MGR,B,MGR,4C8G,bjb,WEB,ARM,79%,28%,18%,1%,2020-10-06
3,bjb-chat-MGR-kzx-0002,10.6.5.118,CHAT,MGR,B,MGR,4C8G,bjb,WEB,ARM,41%,19%,33%,30%,2020-09-08
0,hfa-chat-MGR-kzx-0001,10.6.3.145,CHAT,MGR,B,MGR,4C8G,hfa,WEB,ARM,52%,29%,28%,4%,2020-06-18
3,hfa-chat-MGR-kzx-0002,10.6.3.108,CHAT,MGR,B,MGR,4C8G,hfa,WEB,ARM,10%,21%,0%,0%,2020-05-03
2,bja-chat-Nginx-kzx-0001,10.6.4.252,CHAT,Nginx,B,Nginx,16C64G,bja,WEB,x86,71%,85%,62%,55%,2020-01-08
1,bja-chat-Nginx-kzx-0002,10.6.4.80,CHAT,Nginx,B,Nginx,16C64G,bja,WEB,x86,60%,16%,25%,7%,2020-09-27
-2,bjb-chat-Nginx-kzx-0001,10.6.5.60,CHAT,Nginx,B,Nginx,16C64G,bjb,WEB,ARM,20%,11%,6%,0%,2020-04-18
1,bjb-chat-Nginx-kzx-0002,10.6.5.160,CHAT,Nginx,B,Nginx,16C64G,bjb,WEB,ARM,36%,23%,10%,5%,2020-02-26
3,hfa-chat-Nginx-kzx-0001,10.6.3.56,CHAT,Nginx,B,Nginx,16C32G,hfa,WEB,x86,51%,54%,1%,0%,2020-01-13
1,hfa-chat-Nginx-kzx-0002,10.6.3.27,CHAT,Nginx,B,Nginx,16C32G,hfa,WEB,x86,14%,15%,0%,0%,2020-08-10
-3,bja-chat-chat-kzx-0001,10.2.4.211,CHAT,chat,B,chat,16C64G,bja,SCYW,x86,88%,79%,60%,41%,2020-06-21
-3,bja-chat-chat-kzx-0002,10.2.4.187,CHAT,chat,B,chat,16C64G,bja,SCYW,x86,42%,59%,28%,9%,2020-03-05
2,bjb-chat-chat-kzx-0001,10.2.5.220,CHAT,chat,B,chat,16C64G,bjb,SCYW,ARM,54%,29%,1%,0%,2020-09-24
-3,bjb-chat-chat-kzx-0002,10.2.5.15,CHAT,chat,B,chat,16C64G,bjb,SCYW,ARM,21%,100%,78%,0%,2020-02-06
1,hfa-chat-chat-kzx-0001,10.2.3.159,CHAT,chat,B,chat,2C4G,hfa,SCYW,C86,18%,82%,0%,0%,2020-08-20
3,hfa-chat-chat-kzx-0002,10.2.3.101,CHAT,chat,B,chat,2C4G,hfa,SCYW,C86,38%,28%,2%,1%,2020-10-04
-3,bja-chat-gateway-kzx-0001,10.1.4.40,CHAT,gateway,B,gateway,32C64G,bja,AG,ARM,100%,82%,51%,30%,2020-03-01
-2,bja-chat-gateway-kzx-0002,10.1.4.16,CHAT,gateway,B,gateway,32C64G,bja,AG,ARM,25%,44%,3%,0%,2020-10-23
3,bjb-chat-gateway-kzx-0001,10.1.5.164,CHAT,gateway,B,gateway,32C64G,bjb,AG,x86,14%,60%,0%,0%,2020-11-05
-2,bjb-chat-gateway-kzx-0002,10.1.5.120,CHAT,gateway,B,gateway,32C64G,bjb,AG,x86,28%,26%,78%,0%,2020-01-28
-1,hfa-chat-gateway-kzx-0001,10.1.3.11,CHAT,gateway,B,gateway,4C16G,hfa,AG,x86,38%,45%,14%,10%,2020-02-07
-3,hfa-chat-gateway-kzx-0002,10.1.3.36,CHAT,gateway,B,gateway,4C16G,hfa,AG,x86,15%,43%,0%,0%,2020-10-12
-1,bja-chat-msg-kzx-0001,10.2.4.88,CHAT,msg,B,msg,4C8G,bja,SCYW,C86,85%,85%,27%,16%,2020-09-12
3,bja-chat-msg-kzx-0002,10.2.4.30,CHAT,msg,B,msg,4C8G,bja,SCYW,C86,34%,78%,34%,28%,2020-01-28
-3,bjb-chat-msg-kzx-0001,10.2.5.251,CHAT,msg,B,msg,4C8G,bjb,SCYW,ARM,50%,30%,38%,27%,2020-07-06
0,bjb-chat-msg-kzx-0002,10.2.5.171,CHAT,msg,B,msg,4C8G,bjb,SCYW,ARM,100%,46%,16%,1%,2020-06-04
0,hfa-chat-msg-kzx-0001,10.2.3.122,CHAT,msg,B,msg,4C8G,hfa,SCYW,ARM,10%,40%,0%,0%,2020-12-18
-2,hfa-chat-msg-kzx-0002,10.2.3.12,CHAT,msg,B,msg,4C8G,hfa,SCYW,ARM,97%,22%,3%,1%,2020-12-10
-3,bja-chat-robt-kzx-0001,10.1.4.76,CHAT,robt,B,robt,16C32G,bja,AG,ARM,98%,51%,69%,11%,2020-01-05
-2,bja-chat-robt-kzx-0002,10.1.4.4,CHAT,robt,B,robt,16C32G,bja,AG,ARM,17%,19%,0%,0%,2020-03-01
3,bja-chat-robt-kzx-0003,10.1.4.105,CHAT,robt,B,robt,16C32G,bja,AG,ARM,44%,17%,26%,20%,2020-03-04
3,bja-chat-robt-kzx-0004,10.1.4.247,CHAT,robt,B,robt,16C32G,bja,AG,ARM,65%,37%,44%,23%,2020-07-18
-3,bjb-chat-robt-kzx-0001,10.1.5.10,CHAT,robt,B,robt,16C32G,bjb,AG,ARM,47%,72%,6%,3%,2020-07-26
2,bjb-chat-robt-kzx-0002,10.1.5.158,CHAT,robt,B,robt,16C32G,bjb,AG,ARM,16%,35%,0%,0%,2020-04-09
2,bjb-chat-robt-kzx-0003,10.1.5.156,CHAT,robt,B,robt,16C32G,bjb,AG,ARM,52%,94%,23%,12%,2020-11-22
1,bjb-chat-robt-kzx-0004,10.1.5.116,CHAT,robt,B,robt,16C32G,bjb,AG,ARM,78%,53%,53%,11%,2020-02-26
1,hfa-chat-robt-kzx-0001,10.1.3.183,CHAT,robt,B,robt,4C16G,hfa,AG,x86,49%,26%,25%,2%,2020-04-16
1,hfa-chat-robt-kzx-0002,10.1.3.107,CHAT,robt,B,robt,4C16G,hfa,AG,x86,14%,14%,0%,0%,2020-10-28
1,bja-chat-web-kzx-0001,10.6.4.98,CHAT,web,B,web,2C8G,bja,WEB,x86,81%,73%,95%,69%,2020-10-16
3,bja-chat-web-kzx-0002,10.6.4.149,CHAT,web,B,web,2C8G,bja,WEB,x86,30%,66%,12%,8%,2020-01-18
-2,bjb-chat-web-kzx-0001,10.6.5.6,CHAT,web,B,web,2C8G,bjb,WEB,C86,29%,38%,35%,0%,2020-11-22
0,bjb-chat-web-kzx-0002,10.6.5.52,CHAT,web,B,web,2C8G,bjb,WEB,C86,26%,32%,15%,0%,2020-09-22
-1,hfa-chat-web-kzx-0001,10.6.3.170,CHAT,web,B,web,2C8G,hfa,WEB,x86,45%,42%,7%,3%,2020-11-05
-1,hfa-chat-web-kzx-0002,10.6.3.224,CHAT,web,B,web,2C8G,hfa,WEB,x86,56%,29%,83%,18%,2020-02-12
2,bja-chgm-MGR-kzx-0001,10.1.4.146,CHGM,MGR,C,MGR,8C16G,bja,AG,ARM,84%,50%,66%,53%,2020-02-14
-1,bja-chgm-MGR-kzx-0002,10.1.4.209,CHGM,MGR,C,MGR,8C16G,bja,AG,ARM,42%,45%,76%,24%,2020-07-01
-2,bjb-chgm-MGR-kzx-0001,10.1.5.157,CHGM,MGR,C,MGR,8C16G,bjb,AG,C86,13%,87%,0%,0%,2020-02-09
-1,bjb-chgm-MGR-kzx-0002,10.1.5.54,CHGM,MGR,C,MGR,8C16G,bjb,AG,C86,27%,29%,30%,0%,2020-01-10
-1,bja-chgm-service-kzx-0001,10.8.4.87,CHGM,service,C,service,32C64G,bja,OA,x86,24%,94%,51%,0%,2020-05-14
0,bja-chgm-service-kzx-0002,10.8.4.39,CHGM,service,C,service,32C64G,bja,OA,x86,76%,63%,48%,19%,2020-03-15
1,bjb-chgm-service-kzx-0001,10.8.5.124,CHGM,service,C,service,32C64G,bjb,OA,x86,15%,13%,0%,0%,2020-01-22
3,bjb-chgm-service-kzx-0002,10.8.5.214,CHGM,service,C,service,32C64G,bjb,OA,x86,18%,42%,0%,0%,2020-07-03
2,bja-chgm-web-kzx-0001,10.1.4.83,CHGM,web,C,web,2C8G,bja,AG,ARM,76%,100%,67%,32%,2020-02-23
3,bja-chgm-web-kzx-0002,10.1.4.120,CHGM,web,C,web,2C8G,bja,AG,ARM,57%,51%,37%,29%,2020-02-14
3,bjb-chgm-web-kzx-0001,10.1.5.64,CHGM,web,C,web,2C8G,bjb,AG,ARM,50%,27%,20%,3%,2020-03-08
0,bjb-chgm-web-kzx-0002,10.1.5.98,CHGM,web,C,web,2C8G,bjb,AG,ARM,31%,49%,35%,27%,2020-02-22
-3,bja-cmdb-ES-kzx-0001,10.3.4.128,CMDB,ES,C,ES,8C16G,bja,KFCS,C86,95%,58%,57%,16%,2020-01-08
0,bja-cmdb-ES-kzx-0002,10.3.4.188,CMDB,ES,C,ES,8C16G,bja,KFCS,C86,25%,63%,47%,0%,2020-08-12
2,bja-cmdb-ES-kzx-0003,10.3.4.150,CMDB,ES,C,ES,8C16G,bja,KFCS,C86,78%,51%,17%,8%,2020-11-04
