label,机器名,业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,创建/变更时间
5-降内存,szb-act-Redis-kzx-0005,10.8.2.174,ACT,Redis,A+,Redis,2C8G,szb,OA,C86,0.29,0.33,0.02,0,2020/2/9
5-降内存,szb-act-Redis-kzx-0006,10.8.2.7,ACT,Redis,A+,Redis,2C8G,szb,OA,C86,0.21,0.43,0.22,0,2020/6/19
6-降CPU内存,hfa-act-address-kzx-0001,10.8.3.163,ACT,address,A+,address,8C32G,hfa,OA,ARM,0.41,0.1,0.34,0.02,2020/1/5
1-升CPU,hfa-act-address-kzx-0002,10.8.3.226,ACT,address,A+,address,8C32G,hfa,OA,ARM,0.66,0.15,0.19,0.07,2020/2/21
5-降内存,sza-act-address-kzx-0001,10.8.1.54,ACT,address,A+,address,32C64G,sza,OA,C86,0.62,0.82,0.79,0.31,2020/7/20
0-平,sza-act-address-kzx-0002,10.8.1.246,ACT,address,A+,address,32C64G,sza,OA,C86,0.78,0.66,0.49,0.04,2020/7/17
0-平,szb-act-address-kzx-0001,10.8.2.2,ACT,address,A+,address,32C64G,szb,OA,x86,0.8,0.39,0.15,0.07,2020/11/5
6-降CPU内存,szb-act-address-kzx-0002,10.8.2.142,ACT,address,A+,address,32C64G,szb,OA,x86,0.19,0.44,0,0,2020/8/16
5-降内存,hfa-act-app-kzx-0001,10.3.3.31,ACT,app,A+,app,2C8G,hfa,KFCS,C86,0.46,0.22,0.46,0.09,2020/5/1
1-升CPU,hfa-act-app-kzx-0002,10.3.3.193,ACT,app,A+,app,2C8G,hfa,KFCS,C86,0.65,0.19,0.31,0.12,2020/3/23
1-升CPU,sza-act-app-kzx-0001,10.3.1.95,ACT,app,A+,app,4C8G,sza,KFCS,x86,1,0.76,0.61,0.41,2020/1/14
3-升CPU内存,sza-act-app-kzx-0002,10.3.1.75,ACT,app,A+,app,4C8G,sza,KFCS,x86,0.32,0.77,0.25,0.02,2020/10/1
1-升CPU,szb-act-app-kzx-0001,10.3.2.32,ACT,app,A+,app,4C8G,szb,KFCS,C86,0.94,0.1,0.51,0.33,2020/10/13
1-升CPU,szb-act-app-kzx-0002,10.3.2.6,ACT,app,A+,app,4C8G,szb,KFCS,C86,0.66,0.16,0.08,0.04,2020/3/27
0-平,hfa-act-batch-kzx-0001,10.8.3.95,ACT,batch,A+,batch,2C4G,hfa,OA,ARM,0.28,0.44,0.19,0,2020/3/20
0-平,hfa-act-batch-kzx-0002,10.8.3.27,ACT,batch,A+,batch,2C4G,hfa,OA,ARM,0.11,0.33,0,0,2020/5/9
3-升CPU内存,sza-act-batch-kzx-0001,10.8.1.6,ACT,batch,A+,batch,16C32G,sza,OA,ARM,1,0.84,0.65,0.49,2020/1/11
1-升CPU,sza-act-batch-kzx-0002,10.8.1.104,ACT,batch,A+,batch,16C32G,sza,OA,ARM,0.79,0.69,0.11,0.01,2020/11/7
6-降CPU内存,sza-act-batch-kzx-0003,10.8.1.230,ACT,batch,A+,batch,16C32G,sza,OA,ARM,0.37,0.11,0.5,0.26,2020/2/10
1-升CPU,szb-act-batch-kzx-0001,10.8.2.103,ACT,batch,A+,batch,16C32G,szb,OA,ARM,0.5,0.19,0.11,0.09,2020/8/16
6-降CPU内存,szb-act-batch-kzx-0002,10.8.2.142,ACT,batch,A+,batch,16C32G,szb,OA,ARM,0.1,0.1,0,0,2020/7/25
3-升CPU内存,szb-act-batch-kzx-0003,10.8.2.250,ACT,batch,A+,batch,16C32G,szb,OA,ARM,0.37,0.53,0.34,0.04,2020/10/9
6-降CPU内存,hfa-act-bill-kzx-0001,10.7.3.114,ACT,bill,A+,bill,16C64G,hfa,HXYW,ARM,0.18,0.23,0,0,2020/10/22
6-降CPU内存,hfa-act-bill-kzx-0002,10.7.3.146,ACT,bill,A+,bill,16C64G,hfa,HXYW,ARM,0.85,0.87,0.1,0.05,2020/4/26
0-平,sza-act-bill-kzx-0001,10.7.1.125,ACT,bill,A+,bill,32C64G,sza,HXYW,x86,0.85,0.91,0.57,0.26,2020/10/23
6-降CPU内存,sza-act-bill-kzx-0002,10.7.1.22,ACT,bill,A+,bill,32C64G,sza,HXYW,x86,0.44,0.64,0.31,0.21,2020/11/23
4-降CPU,szb-act-bill-kzx-0001,10.7.2.7,ACT,bill,A+,bill,32C64G,szb,HXYW,C86,0.1,1,0,0,2020/5/1
0-平,szb-act-bill-kzx-0002,10.7.2.125,ACT,bill,A+,bill,32C64G,szb,HXYW,C86,0.61,0.23,0.19,0.08,2020/12/8
6-降CPU内存,hfa-act-core-kzx-0001,10.2.3.16,ACT,core,A+,core,4C16G,hfa,SCYW,C86,0.42,0.29,0.52,0.07,2020/11/2
6-降CPU内存,hfa-act-core-kzx-0002,10.2.3.36,ACT,core,A+,core,4C16G,hfa,SCYW,C86,0.12,0.16,0,0,2020/6/23
1-升CPU,sza-act-core-kzx-0001,10.2.1.207,ACT,core,A+,core,8C16G,sza,SCYW,C86,0.96,0.64,0.64,0.53,2020/4/27
1-升CPU,sza-act-core-kzx-0002,10.2.1.56,ACT,core,A+,core,8C16G,sza,SCYW,C86,0.81,0.8,0.22,0.02,2020/12/24
6-降CPU内存,szb-act-core-kzx-0001,10.2.2.148,ACT,core,A+,core,8C16G,szb,SCYW,C86,0.38,0.23,0.06,0.03,2020/4/5
1-升CPU,szb-act-core-kzx-0002,10.2.2.41,ACT,core,A+,core,8C16G,szb,SCYW,C86,0.39,0.75,0.13,0.09,2020/3/27
6-降CPU内存,hfa-act-detail-kzx-0001,10.8.3.191,ACT,detail,A+,detail,8C32G,hfa,OA,ARM,0.11,0.28,0,0,2020/10/7
6-降CPU内存,hfa-act-detail-kzx-0002,10.8.3.63,ACT,detail,A+,detail,8C32G,hfa,OA,ARM,0.31,0.21,0.07,0.03,2020/3/1
0-平,sza-act-detail-kzx-0001,10.8.1.8,ACT,detail,A+,detail,32C64G,sza,OA,C86,0.82,0.87,0.9,0.54,2020/11/4
0-平,sza-act-detail-kzx-0002,10.8.1.53,ACT,detail,A+,detail,32C64G,sza,OA,C86,0.35,0.54,0.66,0.37,2020/8/18
0-平,szb-act-detail-kzx-0001,10.8.2.73,ACT,detail,A+,detail,32C64G,szb,OA,x86,0.23,0.57,0.26,0,2020/10/16
0-平,szb-act-detail-kzx-0002,10.8.2.25,ACT,detail,A+,detail,32C64G,szb,OA,x86,0.71,0.51,0.2,0.08,2020/6/16
6-降CPU内存,hfa-act-fenqi-kzx-0001,10.1.3.87,ACT,fenqi,A+,fenqi,8C32G,hfa,AG,C86,0.14,0.15,0,0,2020/12/20
6-降CPU内存,hfa-act-fenqi-kzx-0002,10.1.3.136,ACT,fenqi,A+,fenqi,8C32G,hfa,AG,C86,0.24,0.35,0.2,0,2020/2/20
0-平,sza-act-fenqi-kzx-0001,10.1.1.252,ACT,fenqi,A+,fenqi,32C64G,sza,AG,ARM,0.79,0.85,0.7,0.58,2020/12/2
0-平,sza-act-fenqi-kzx-0002,10.1.1.169,ACT,fenqi,A+,fenqi,32C64G,sza,AG,ARM,0.67,0.38,0.04,0.02,2020/2/10
0-平,sza-act-fenqi-kzx-0003,10.1.1.149,ACT,fenqi,A+,fenqi,32C64G,sza,AG,ARM,0.39,0.76,0.69,0.34,2020/9/24
4-降CPU,sza-act-fenqi-kzx-0004,10.1.1.36,ACT,fenqi,A+,fenqi,32C64G,sza,AG,ARM,0.84,0.18,0.65,0.12,2020/2/5
6-降CPU内存,szb-act-fenqi-kzx-0001,10.1.2.33,ACT,fenqi,A+,fenqi,32C64G,szb,AG,ARM,0.44,0.18,0.26,0.01,2020/3/13
6-降CPU内存,szb-act-fenqi-kzx-0002,10.1.2.103,ACT,fenqi,A+,fenqi,32C64G,szb,AG,ARM,0.38,0.35,0.13,0.09,2020/1/8
4-降CPU,szb-act-fenqi-kzx-0003,10.1.2.233,ACT,fenqi,A+,fenqi,32C64G,szb,AG,ARM,0.27,0.76,0.25,0,2020/9/20
6-降CPU内存,szb-act-fenqi-kzx-0004,10.1.2.193,ACT,fenqi,A+,fenqi,32C64G,szb,AG,ARM,0.49,0.35,0.25,0.18,2020/8/14
0-平,hfa-act-ha-kzx-0001,10.2.3.249,ACT,ha,A+,ha,2C4G,hfa,SCYW,x86,0.22,0.69,0.12,0,2020/11/12
0-平,hfa-act-ha-kzx-0002,10.2.3.118,ACT,ha,A+,ha,2C4G,hfa,SCYW,x86,0.29,0.13,0.06,0,2020/5/14
3-升CPU内存,sza-act-ha-kzx-0001,10.2.1.161,ACT,ha,A+,ha,16C32G,sza,SCYW,C86,0.89,1,0.69,0.51,2020/12/7
0-平,sza-act-ha-kzx-0002,10.2.1.117,ACT,ha,A+,ha,16C32G,sza,SCYW,C86,0.31,1,0.58,0.32,2020/10/11
4-降CPU,szb-act-ha-kzx-0001,10.2.2.106,ACT,ha,A+,ha,16C32G,szb,SCYW,x86,0.23,0.85,0.03,0,2020/7/25
6-降CPU内存,szb-act-ha-kzx-0002,10.2.2.175,ACT,ha,A+,ha,16C32G,szb,SCYW,x86,0.39,0.17,0.4,0.3,2020/7/24
0-平,hfa-act-huankuan-kzx-0001,10.3.3.229,ACT,huankuan,A+,huankuan,2C4G,hfa,KFCS,x86,0.22,0.28,0.05,0,2020/5/6
1-升CPU,hfa-act-huankuan-kzx-0002,10.3.3.93,ACT,huankuan,A+,huankuan,2C4G,hfa,KFCS,x86,0.6,0.25,0.83,0.29,2020/3/7
0-平,hfa-act-huankuan-kzx-0003,10.3.3.63,ACT,huankuan,A+,huankuan,2C4G,hfa,KFCS,x86,0.29,0.6,0.04,0,2020/2/21
0-平,hfa-act-huankuan-kzx-0004,10.3.3.34,ACT,huankuan,A+,huankuan,2C4G,hfa,KFCS,x86,0.3,0.46,0.73,0.18,2020/9/22
3-升CPU内存,sza-act-huankuan-kzx-0001,10.3.1.163,ACT,huankuan,A+,huankuan,8C32G,sza,KFCS,x86,0.73,1,0.71,0.35,2020/9/26
1-升CPU,sza-act-huankuan-kzx-0002,10.3.1.96,ACT,huankuan,A+,huankuan,8C32G,sza,KFCS,x86,0.52,0.45,0.59,0.18,2020/9/21
1-升CPU,sza-act-huankuan-kzx-0003,10.3.1.82,ACT,huankuan,A+,huankuan,8C32G,sza,KFCS,x86,0.78,0.29,0.89,0.27,2020/11/22
1-升CPU,sza-act-huankuan-kzx-0004,10.3.1.247,ACT,huankuan,A+,huankuan,8C32G,sza,KFCS,x86,0.82,0.79,0.75,0.09,2020/5/10
6-降CPU内存,sza-act-huankuan-kzx-0005,10.3.1.173,ACT,huankuan,A+,huankuan,8C32G,sza,KFCS,x86,0.38,0.16,0.36,0.13,2020/9/6
6-降CPU内存,szb-act-huankuan-kzx-0001,10.3.2.230,ACT,huankuan,A+,huankuan,8C32G,szb,KFCS,C86,0.1,0.28,0,0,2020/12/26
2-升内存,szb-act-huankuan-kzx-0002,10.3.2.184,ACT,huankuan,A+,huankuan,8C32G,szb,KFCS,C86,0.46,0.94,0.27,0.09,2020/1/13
1-升CPU,szb-act-huankuan-kzx-0003,10.3.2.106,ACT,huankuan,A+,huankuan,8C32G,szb,KFCS,C86,0.87,0.5,0.67,0.08,2020/2/21
6-降CPU内存,szb-act-huankuan-kzx-0004,10.3.2.84,ACT,huankuan,A+,huankuan,8C32G,szb,KFCS,C86,0.49,0.19,0.54,0.01,2020/6/9
6-降CPU内存,szb-act-huankuan-kzx-0005,10.3.2.229,ACT,huankuan,A+,huankuan,8C32G,szb,KFCS,C86,0.26,0.12,0.23,0,2020/11/9
0-平,hfa-act-jifen-kzx-0001,10.8.3.94,ACT,jifen,A+,jifen,2C4G,hfa,OA,C86,0.13,0.52,0,0,2020/10/21
0-平,hfa-act-jifen-kzx-0002,10.8.3.185,ACT,jifen,A+,jifen,2C4G,hfa,OA,C86,0.32,0.15,0.23,0.18,2020/6/20
1-升CPU,sza-act-jifen-kzx-0001,10.8.1.167,ACT,jifen,A+,jifen,2C4G,sza,OA,C86,0.98,0.71,0.72,0.28,2020/7/11
1-升CPU,sza-act-jifen-kzx-0002,10.8.1.203,ACT,jifen,A+,jifen,2C4G,sza,OA,C86,0.5,0.65,0.02,0.01,2020/12/8
0-平,szb-act-jifen-kzx-0001,10.8.2.144,ACT,jifen,A+,jifen,2C4G,szb,OA,C86,0.28,0.2,0.05,0,2020/12/19
0-平,szb-act-jifen-kzx-0002,10.8.2.185,ACT,jifen,A+,jifen,2C4G,szb,OA,C86,0.14,0.1,0,0,2020/11/25
5-降内存,hfa-act-quanyi-kzx-0001,10.7.3.42,ACT,quanyi,A+,quanyi,8C16G,hfa,HXYW,x86,0.12,0.56,0,0,2020/3/8
1-升CPU,hfa-act-quanyi-kzx-0002,10.7.3.86,ACT,quanyi,A+,quanyi,8C16G,hfa,HXYW,x86,0.76,0.19,0.56,0.01,2020/9/21
1-升CPU,sza-act-quanyi-kzx-0001,10.7.1.1,ACT,quanyi,A+,quanyi,16C64G,sza,HXYW,C86,0.99,0.9,0.63,0.54,2020/6/22
6-降CPU内存,sza-act-quanyi-kzx-0002,10.7.1.140,ACT,quanyi,A+,quanyi,16C64G,sza,HXYW,C86,0.82,0.82,0.53,0.27,2020/12/28
6-降CPU内存,szb-act-quanyi-kzx-0001,10.7.2.147,ACT,quanyi,A+,quanyi,16C64G,szb,HXYW,x86,0.11,0.19,0,0,2020/12/18
0-平,szb-act-quanyi-kzx-0002,10.7.2.90,ACT,quanyi,A+,quanyi,16C64G,szb,HXYW,x86,0.38,0.53,0.22,0.15,2020/6/21
3-升CPU内存,hfa-act-user-kzx-0001,10.8.3.125,ACT,user,A+,user,2C4G,hfa,OA,ARM,0.2,0.67,0.15,0,2020/10/4
1-升CPU,hfa-act-user-kzx-0002,10.8.3.97,ACT,user,A+,user,2C4G,hfa,OA,ARM,0.64,0.27,0.11,0.02,2020/4/12
3-升CPU内存,sza-act-user-kzx-0001,10.8.1.41,ACT,user,A+,user,2C8G,sza,OA,x86,0.98,0.82,0.77,0.52,2020/6/16
1-升CPU,sza-act-user-kzx-0002,10.8.1.196,ACT,user,A+,user,2C8G,sza,OA,x86,1,0.36,0.32,0.07,2020/1/23
5-降内存,szb-act-user-kzx-0001,10.8.2.167,ACT,user,A+,user,2C8G,szb,OA,x86,0.44,0.17,0.15,0.07,2020/6/4
1-升CPU,szb-act-user-kzx-0002,10.8.2.109,ACT,user,A+,user,2C8G,szb,OA,x86,1,0.31,0.13,0.09,2020/9/11
1-升CPU,hfa-app-ES-kzx-0001,10.1.3.141,APP,ES,A+,ES,8C32G,hfa,AG,C86,0.96,0.27,0.16,0.08,2020/8/9
6-降CPU内存,hfa-app-ES-kzx-0002,10.1.3.68,APP,ES,A+,ES,8C32G,hfa,AG,C86,0.39,0.72,0.16,0.01,2020/11/27
6-降CPU内存,hfa-app-ES-kzx-0003,10.1.3.176,APP,ES,A+,ES,8C32G,hfa,AG,C86,0.19,0.11,0,0,2020/6/21
3-升CPU内存,sza-app-ES-kzx-0001,10.1.1.76,APP,ES,A+,ES,8C32G,sza,AG,x86,0.9,0.89,0.61,0.29,2020/3/18
1-升CPU,sza-app-ES-kzx-0002,10.1.1.190,APP,ES,A+,ES,8C32G,sza,AG,x86,0.83,0.21,0.15,0.05,2020/2/19
6-降CPU内存,sza-app-ES-kzx-0003,10.1.1.159,APP,ES,A+,ES,8C32G,sza,AG,x86,0.48,0.27,0.36,0.13,2020/6/27
2-升内存,szb-app-ES-kzx-0001,10.1.2.140,APP,ES,A+,ES,8C32G,szb,AG,x86,0.27,0.55,0.38,0,2020/7/10
1-升CPU,szb-app-ES-kzx-0002,10.1.2.66,APP,ES,A+,ES,8C32G,szb,AG,x86,0.87,0.46,0.1,0.05,2020/1/19
4-降CPU,szb-app-ES-kzx-0003,10.1.2.247,APP,ES,A+,ES,8C32G,szb,AG,x86,0.25,0.63,0.34,0,2020/6/11
0-平,hfa-app-MGR-kzx-0001,10.1.3.183,APP,MGR,A+,MGR,2C4G,hfa,AG,ARM,0.35,0.21,0.58,0.23,2020/6/6
1-升CPU,hfa-app-MGR-kzx-0002,10.1.3.212,APP,MGR,A+,MGR,2C4G,hfa,AG,ARM,0.63,0.17,0.67,0.47,2020/5/28
1-升CPU,sza-app-MGR-kzx-0001,10.1.1.218,APP,MGR,A+,MGR,2C4G,sza,AG,x86,1,0.64,0.59,0.43,2020/1/27
3-升CPU内存,sza-app-MGR-kzx-0002,10.1.1.185,APP,MGR,A+,MGR,2C4G,sza,AG,x86,0.55,0.89,0.63,0.39,2020/3/15
0-平,szb-app-MGR-kzx-0001,10.1.2.3,APP,MGR,A+,MGR,2C4G,szb,AG,C86,0.17,0.56,0,0,2020/9/3
0-平,szb-app-MGR-kzx-0002,10.1.2.65,APP,MGR,A+,MGR,2C4G,szb,AG,C86,0.31,0.17,0.56,0.15,2020/6/25
0-平,hfa-app-Nginx-kzx-0001,10.3.3.193,APP,Nginx,A+,Nginx,2C4G,hfa,KFCS,ARM,0.13,0.94,0,0,2020/7/16
0-平,hfa-app-Nginx-kzx-0002,10.3.3.28,APP,Nginx,A+,Nginx,2C4G,hfa,KFCS,ARM,0.16,0.32,0,0,2020/11/15
4-降CPU,sza-app-Nginx-kzx-0001,10.3.1.80,APP,Nginx,A+,Nginx,16C64G,sza,KFCS,ARM,0.28,1,0.7,0,2020/4/18
1-升CPU,sza-app-Nginx-kzx-0002,10.3.1.186,APP,Nginx,A+,Nginx,16C64G,sza,KFCS,ARM,0.75,0.41,0.27,0.2,2020/5/26
6-降CPU内存,szb-app-Nginx-kzx-0001,10.3.2.172,APP,Nginx,A+,Nginx,16C64G,szb,KFCS,ARM,0.31,0.28,0.04,0.02,2020/8/3
6-降CPU内存,szb-app-Nginx-kzx-0002,10.3.2.67,APP,Nginx,A+,Nginx,16C64G,szb,KFCS,ARM,0.21,0.62,0.01,0,2020/6/27
0-平,hfa-app-agent-kzx-0001,10.3.3.176,APP,agent,A+,agent,2C4G,hfa,KFCS,C86,0.24,0.22,0.04,0,2020/11/12
0-平,hfa-app-agent-kzx-0002,10.3.3.50,APP,agent,A+,agent,2C4G,hfa,KFCS,C86,0.35,0.35,0.28,0.12,2020/10/5
1-升CPU,sza-app-agent-kzx-0001,10.3.1.14,APP,agent,A+,agent,8C32G,sza,KFCS,C86,0.86,0.42,0.55,0.36,2020/5/11
1-升CPU,sza-app-agent-kzx-0002,10.3.1.85,APP,agent,A+,agent,8C32G,sza,KFCS,C86,0.64,0.48,0.44,0.22,2020/6/23
6-降CPU内存,szb-app-agent-kzx-0001,10.3.2.42,APP,agent,A+,agent,8C32G,szb,KFCS,C86,0.46,0.43,0.06,0.03,2020/3/22
4-降CPU,szb-app-agent-kzx-0002,10.3.2.222,APP,agent,A+,agent,8C32G,szb,KFCS,C86,0.26,0.77,0.27,0,2020/2/15
1-升CPU,hfa-app-android-kzx-0001,10.8.3.19,APP,android,A+,android,2C4G,hfa,OA,x86,0.32,0.55,0.17,0.08,2020/12/19
0-平,hfa-app-android-kzx-0002,10.8.3.203,APP,android,A+,android,2C4G,hfa,OA,x86,0.17,0.16,0,0,2020/10/15
1-升CPU,sza-app-android-kzx-0001,10.8.1.210,APP,android,A+,android,4C8G,sza,OA,C86,0.68,0.74,0.57,0.46,2020/12/3
1-升CPU,sza-app-android-kzx-0002,10.8.1.74,APP,android,A+,android,4C8G,sza,OA,C86,0.74,0.4,0.46,0.14,2020/9/14
5-降内存,szb-app-android-kzx-0001,10.8.2.141,APP,android,A+,android,4C8G,szb,OA,ARM,0.26,0.56,0.66,0,2020/1/20
6-降CPU内存,szb-app-android-kzx-0002,10.8.2.157,APP,android,A+,android,4C8G,szb,OA,ARM,0.41,0.24,0.11,0.05,2020/9/17
0-平,hfa-app-ha-kzx-0001,10.3.3.221,APP,ha,A+,ha,2C4G,hfa,KFCS,C86,0.36,0.28,0.28,0.01,2020/5/25
1-升CPU,hfa-app-ha-kzx-0002,10.3.3.53,APP,ha,A+,ha,2C4G,hfa,KFCS,C86,0.9,0.29,0.13,0.1,2020/9/24
3-升CPU内存,sza-app-ha-kzx-0001,10.3.1.151,APP,ha,A+,ha,2C8G,sza,KFCS,x86,0.97,0.92,0.55,0.07,2020/3/17
5-降内存,sza-app-ha-kzx-0002,10.3.1.251,APP,ha,A+,ha,2C8G,sza,KFCS,x86,0.4,0.48,0.56,0.02,2020/8/8
1-升CPU,szb-app-ha-kzx-0001,10.3.2.9,APP,ha,A+,ha,2C8G,szb,KFCS,C86,1,0.15,0.25,0.2,2020/7/23
1-升CPU,szb-app-ha-kzx-0002,10.3.2.65,APP,ha,A+,ha,2C8G,szb,KFCS,C86,0.67,0.49,0.23,0.03,2020/2/4
5-降内存,hfa-app-kafka-kzx-0001,10.3.3.219,APP,kafka,A+,kafka,2C8G,hfa,KFCS,C86,0.19,0.8,0,0,2020/8/18
