业务IP,归属系统,归属微服务,系统级别,进程,规格,机房,网络区域,芯片架构,最高CPU利用率,最高内存利用率,CPU利用率(>20%)时间占比,CPU利用率(>30%)时间占比,group
[  1 220 198  11],5,[5],3,[5],4,1,1,0,-1.2157280616311275,-1.0819864913323256,-1.0726978961881521,-0.684425565999344,[34 41 11 64  1]
[  1   0 111 206],17,[53],0,[53],1,4,0,2,-0.9975320712410722,0.9930540838036812,-0.4458955104202783,-0.684425565999344,[93 88 69 64  0]
[  1   0 177 210],12,[9],2,[9],0,2,0,2,-0.27021210327422135,-1.2706265436174171,-0.7984718524147073,-0.5019089253707143,[56 67 15 64  0]
[  1   0 188 158],16,[20],0,[20],1,0,0,2,1.03896383906611,0.8798700524326262,0.690183813783993,-0.5019089253707143,[33 77 27 64  0]
[  1 111   0 112],14,[69],3,[69],5,3,4,2,1.0753298374644527,2.0117103661431757,2.178839479982693,3.6959738090877687,[92 72 89 64  0]
[  1 177 177 144],0,[43],1,[43],2,2,2,2,-0.9248000744443873,-0.7047063867621425,-0.8768221506356916,-0.684425565999344,[56 21 58 64  0]
[  1 111 188 229],3,[49],2,[49],5,0,4,2,1.3662578246511927,0.2384938746633152,0.690183813783993,0.9582241996583234,[33 38 65 64  1]
[  1   0 177  16],15,[39],2,[39],3,2,0,1,-1.0338980696394149,-0.8933464390472341,-1.0726978961881521,-0.684425565999344,[56 75 53 64  1]
[  1   0 188 112],5,[56],3,[56],2,0,0,1,-0.9611660728427298,-0.3651542926489778,0.10255657712661118,-0.684425565999344,[33 41 73 64  1]
[  1 230 177 116],1,[18],1,[18],2,2,3,2,-1.1066300664360997,-1.1574425122463623,-1.0726978961881521,-0.684425565999344,[56 27 25 64  1]
[  1 220 188 146],5,[23],3,[23],5,0,1,1,-0.8520680776477021,1.4835182197449193,1.0819353048889142,-0.684425565999344,[33 41 30 64  0]
[  1   0 188  22],8,[58],0,[58],7,0,0,2,0.7116698534810273,0.1630378537492785,1.5520370942148194,2.0533240434301017,[33 50 76 64  0]
[  1   0 198  69],8,[11],0,[11],1,1,0,0,0.3116438710992594,-1.0819864913323256,-0.9943475979671678,-0.6235866857898008,[34 50 17 64  2]
[  1 209 198 238],3,[11],2,[11],5,1,5,1,-0.8157020792493596,-0.10105821944984966,2.0221388835407246,-0.684425565999344,[34 38 17 64  1]
[  1 209 177 231],12,[40],2,[40],6,2,5,2,1.2935258278545076,-1.0819864913323256,-0.21084461575732566,0.41067427777243415,[56 67 54 64  1]
[  1   0 111  16],17,[12],0,[12],3,4,0,0,0.020715883912518822,-0.8178904181331975,1.0819353048889142,-0.5627478055802575,[93 88 18 64  5]
[  1 230   0 145],6,[40],2,[40],3,3,3,0,-0.4520420952659342,-0.5915223553910877,-0.6025961068622467,-0.3802311649516278,[92 46 54 64  1]
[  1 230 111  62],6,[71],2,[71],2,4,3,2,1.9117478006263309,0.4648619374054248,0.6510086646735008,-0.5019089253707143,[93 46 91 64  1]
[  1 111 188  49],3,[9],2,[9],4,0,4,2,1.729917808634618,-0.10105821944984966,2.139664330872201,1.0190630798678666,[33 38 15 64  1]
[  1 209   0 194],17,[11],0,[11],3,3,5,2,1.511721818244563,0.7666860210615716,-0.17166946664683352,-0.0760367639039116,[92 88 17 64  0]
[  1 111 198 165],3,[74],2,[74],6,1,4,2,-1.2884600584278125,-1.2706265436174171,-1.0726978961881521,-0.684425565999344,[34 38 96 64  1]
[  1 209 177 165],12,[39],2,[39],1,2,5,1,0.020715883912518822,-1.2706265436174171,-0.48507065953077044,-0.6235866857898008,[56 67 53 64  1]
[  1   0 111  17],17,[20],0,[20],0,4,0,2,-1.2157280616311275,-1.3083545540744355,-1.0726978961881521,-0.684425565999344,[93 88 27 64  1]
[  1 209 111 244],17,[11],0,[11],3,4,5,0,-0.779336080851017,-1.3460825645314538,-0.680946405083231,-0.684425565999344,[93 88 17 64  0]
[  1 177 198  57],7,[35],3,[35],4,1,2,1,-0.8157020792493596,0.2762218851203335,-0.680946405083231,-0.684425565999344,[34 48 48 64  0]
[  1 230   0 231],6,[76],2,[76],0,3,3,2,-0.6338720872576469,-0.40288230310599615,-0.680946405083231,-0.3802311649516278,[92 46 98 64  1]
[  1 230 111 240],14,[37],3,[37],2,4,3,2,-1.3248260568261552,1.4080621988308826,-1.0726978961881521,-0.684425565999344,[93 72 51 64  0]
[  1 177 111 170],1,[52],1,[52],2,4,2,1,-0.779336080851017,-1.119714501789344,-0.36754521219929415,-0.684425565999344,[93 27 68 64  1]
[  1   0   0 212],15,[11],2,[11],8,3,0,1,1.6571858118379335,1.9739823556861573,1.5128619451043273,1.7491296423823854,[92 75 17 64  0]
[  1 230 111 239],6,[40],2,[40],3,4,3,0,-1.2884600584278125,-0.7047063867621425,-1.0726978961881521,-0.684425565999344,[93 46 54 64  0]
[  1 230   0  64],15,[9],2,[9],1,3,3,1,1.438989821447878,-0.3274262821919595,0.4159577700105481,-0.1368756441134549,[92 75 15 64  1]
[  1 209 188 236],3,[11],2,[11],5,0,5,0,0.9298658438710823,-0.6669783763051244,-0.4458955104202783,-0.2585534045325413,[33 38 17 64  0]
[  1 220 177  20],15,[65],2,[65],2,2,1,0,0.784401850277712,1.5967022511159743,-0.13249431753634147,0.10647987672471808,[56 75 84 64  0]
[  1 111 198 120],3,[28],2,[28],3,1,4,1,-0.7429700824526744,-0.7424343972191608,-0.5634209577517546,-0.684425565999344,[34 38 38 64  2]
[  1 209 177 200],17,[16],0,[16],3,2,5,0,1.9117478006263309,0.6912300001475349,-0.9943475979671678,-0.6235866857898008,[56 88 23 64  1]
[1 0 0 2],14,[5],3,[5],6,3,0,2,0.2752778727009168,1.7098862824870291,-0.7201215541937231,-0.441070045161171,[92 72 11 64  2]
[  1   0 111 149],0,[38],1,[38],4,4,0,0,-0.7429700824526744,1.1062381151747362,-0.09331916842584934,-0.684425565999344,[93 21 52 64  2]
[  1   0 198 103],16,[0],0,[0],2,1,0,0,0.9662318422694249,0.12530984329226016,-0.7592967033042152,-0.441070045161171,[34 77  6 64  2]
[  1 220 188 123],4,[9],3,[9],1,0,1,2,1.729917808634618,1.1439661256317546,1.6303873924358032,2.4791962048969043,[33 39 15 64  0]
[  1 230 111  60],6,[7],2,[7],3,4,3,0,-0.37931009846924907,1.9739823556861573,0.4159577700105481,0.7148686788201504,[93 46 13 64  0]
[  1 111 188 173],16,[12],0,[12],3,0,4,1,1.1116958358627953,0.1630378537492785,-0.48507065953077044,-0.3193922847420846,[33 77 18 64  5]
[  1   0 188 146],16,[6],0,[6],1,0,0,1,-0.8884340760460446,-0.138786229906868,0.06338142801611903,-0.684425565999344,[33 77 12 64  1]
[  1 177 177 251],15,[45],2,[45],6,2,2,1,0.8207678486760546,-0.629250365848106,-1.03352274707766,-0.684425565999344,[56 75 60 64  0]
[  1 111 198 182],3,[9],2,[9],4,1,4,0,-1.3248260568261552,-0.8556184285902159,-1.0726978961881521,-0.684425565999344,[34 38 15 64  0]
[  1 111 177 129],3,[7],2,[7],0,2,4,0,-0.5247740920626192,0.3516779060343702,-0.40672036130978617,-0.1368756441134549,[56 38 13 64  0]
[  1 209   0 188],17,[29],0,[29],5,3,5,2,1.4026238230495354,0.5403179583194615,-0.9943475979671678,-0.6235866857898008,[92 88 40 64  3]
[  1 111   0 225],17,[60],0,[60],5,3,4,0,-1.25209406002947,0.42713392694840646,-1.0726978961881521,-0.684425565999344,[92 88 79 64  3]
[  1 111 177 231],2,[67],2,[67],7,2,4,2,-1.0702640680377573,-0.4406103135630145,-1.0726978961881521,-0.684425565999344,[56 36 86 64  1]
[  1 230 111   5],0,[24],1,[24],0,4,3,0,0.09344788070920397,-1.0442584808753073,-0.6417712559727389,-0.1368756441134549,[93 21 31 64  0]
[  1 177 177  91],15,[57],2,[57],3,2,2,1,-1.1429960648344424,-0.8933464390472341,-1.0726978961881521,-0.684425565999344,[56 75 74 64  1]
[  1 209 177 119],17,[29],0,[29],2,2,5,2,0.49347386309097185,-1.0442584808753073,-0.13249431753634147,0.5323520381915208,[56 88 40 64  3]
[  1 209 177 136],12,[39],2,[39],1,2,5,1,-0.23384610487587898,-0.7047063867621425,-0.9943475979671678,-0.6235866857898008,[56 67 53 64  0]
[  1   0 177 212],17,[12],0,[12],2,2,0,1,1.257159829456165,-0.8933464390472341,1.4736867959938351,0.28899651735334775,[56 88 18 64  4]
[  1 230 198 136],10,[76],3,[76],8,1,3,1,-0.5611400904609617,0.7289580106045532,-0.2891949139783098,-0.1368756441134549,[34 61 98 64  0]
[  1   0 188  10],10,[59],3,[59],1,0,0,0,-0.7429700824526744,-0.7424343972191608,-0.6417712559727389,-0.684425565999344,[33 61 78 64  1]
[  1   0 198 173],5,[20],3,[20],8,1,0,2,-1.2884600584278125,-0.10105821944984966,-1.0726978961881521,-0.684425565999344,[34 41 27 64  1]
[  1 220 177 189],5,[5],3,[5],8,2,1,0,-1.2157280616311275,-0.17651424036388633,-1.0726978961881521,-0.684425565999344,[56 41 11 64  2]
[  1 230   0 136],6,[56],2,[56],6,3,3,0,-0.6702380856559894,-0.8178904181331975,-0.5242458086412625,-0.684425565999344,[92 46 73 64  1]
[  1 111 198  91],8,[12],0,[12],1,1,4,2,-1.25209406002947,0.8044140315185899,-1.0726978961881521,-0.684425565999344,[34 50 18 64  1]
[  1 111 188 210],11,[30],3,[30],6,0,4,2,1.9117478006263309,1.4080621988308826,1.4736867959938351,2.1141629236396446,[33 65 42 64  0]
[  1 220 177 222],15,[65],2,[65],2,2,1,0,-1.3611920552244978,0.4648619374054248,-1.0726978961881521,-0.684425565999344,[56 75 84 64  1]
[  1 209 188   9],3,[72],2,[72],1,0,5,0,1.9117478006263309,1.5212462302019376,1.787087988877772,3.1484238872018797,[33 38 94 64  0]
[  1 209 188 144],16,[11],0,[11],5,0,5,1,0.3480098694976016,0.5403179583194615,0.29843232267907166,0.5931909184010639,[33 77 17 64  1]
[  1 220 111 206],14,[11],3,[11],8,4,1,2,-0.9611660728427298,-1.006530470418289,-1.03352274707766,-0.684425565999344,[93 72 17 64  1]
[  1   0 177 245],3,[44],2,[44],5,2,0,1,-1.2157280616311275,0.2762218851203335,-1.0726978961881521,-0.684425565999344,[56 38 59 64  0]
[  1 177 198 119],11,[40],3,[40],1,1,2,1,-0.23384610487587898,-0.629250365848106,-0.09331916842584934,-0.0760367639039116,[34 65 54 64  2]
[  1 230 111 116],6,[15],2,[15],7,4,3,2,1.257159829456165,-0.6669783763051244,0.10255657712661118,-0.1977145243229981,[93 46 22 64  0]
[  1   0 177 205],15,[7],2,[7],2,2,0,1,-0.4520420952659342,-1.0442584808753073,-0.8376470015251994,-0.5019089253707143,[56 75 13 64  1]
[ 1  0  0 77],0,[38],1,[38],4,3,0,0,0.7116698534810273,-0.3274262821919595,-0.9159972997461836,-0.5627478055802575,[92 21 52 64  1]
[  1   0 177 218],1,[5],1,[5],8,2,0,1,-0.30657810167256394,0.9553260733466629,-0.4458955104202783,-0.6235866857898008,[56 27 11 64  1]
[  1 177 188 163],9,[41],3,[41],2,0,2,2,1.1116958358627953,-0.7424343972191608,0.18090687534759547,0.47151315798197746,[33 55 55 64  1]
[  1 230 111  32],6,[76],2,[76],0,4,3,2,-1.25209406002947,-0.7801624076761792,-1.0726978961881521,-0.684425565999344,[93 46 98 64  0]
[  1 177 111   0],1,[48],1,[48],3,4,2,2,0.6389378566843421,0.9175980628896445,1.434511646883343,-0.01519788369436841,[93 27 63 64  0]
[  1   0 188 170],8,[11],0,[11],1,0,0,0,0.6025718582859996,-0.516066334477051,0.8077092611154691,0.8973853194487801,[33 50 17 64  1]
[  1 111 177 197],2,[40],2,[40],5,2,4,1,-1.1066300664360997,0.5403179583194615,-1.0726978961881521,-0.684425565999344,[56 36 54 64  1]
[  1 220 188  16],11,[4],3,[4],3,0,1,1,1.257159829456165,1.3326061779168459,1.3561613486623587,2.235840684058731,[33 65 10 64  0]
[  1 177 188  64],11,[40],3,[40],1,0,2,2,1.220793831057823,-0.3651542926489778,-0.5242458086412625,-0.2585534045325413,[33 65 54 64  2]
[  1   0 198 137],16,[20],0,[20],1,1,0,1,-0.01565011448582375,-0.3651542926489778,1.160285603109898,1.6882907621728422,[34 77 27 64  0]
[  1 230   0   5],15,[9],2,[9],1,3,3,1,-0.0883821112825087,0.7666860210615716,0.9252347084469456,2.3575184444778174,[92 75 15 64  2]
[  1 111 188 131],3,[49],2,[49],5,0,4,2,0.6025718582859996,-0.2519702612779228,0.5334832173420243,1.0190630798678666,[33 38 65 64  2]
[  1   0 177 126],1,[9],1,[9],2,2,0,0,0.566205859887657,-1.119714501789344,1.5520370942148194,2.1750018038491876,[56 27 15 64  1]
[  1 111 177  82],3,[9],2,[9],7,2,4,2,0.45710786469262926,-0.025602198535812977,-0.6025961068622467,-0.3802311649516278,[56 38 15 64  0]
[  1 220   0 204],15,[55],2,[55],7,3,1,1,1.8026498054313034,1.6344302615729926,-0.36754521219929415,-0.441070045161171,[92 75 71 64  1]
[  1 220 198 106],5,[15],3,[15],8,1,1,1,0.12981387910754655,-0.3651542926489778,-0.5242458086412625,-0.1368756441134549,[34 41 22 64  0]
[  1   0 111 177],1,[9],1,[9],2,4,0,1,-1.1066300664360997,0.3516779060343702,-1.0726978961881521,-0.684425565999344,[93 27 15 64  0]
[  1   0   0 181],15,[76],2,[76],1,3,0,1,0.784401850277712,0.9175980628896445,1.5128619451043273,1.9924851632205582,[92 75 98 64  1]
[  1 209 177 153],17,[9],0,[9],4,2,5,0,0.45710786469262926,0.3894059164913881,-0.328370063088802,-0.5019089253707143,[56 88 15 64  1]
[  1 230 111 169],6,[23],2,[23],4,4,3,1,-0.4520420952659342,0.5025899478624432,-0.9159972997461836,-0.5627478055802575,[93 46 30 64  1]
[  1   0   0 132],1,[9],1,[9],2,3,0,2,1.9117478006263309,0.6535019896905165,1.2386359013308823,1.931646283011015,[92 27 15 64  0]
[  1   0   0 130],6,[11],2,[11],7,3,0,0,1.03896383906611,1.1439661256317546,1.9046134362092484,2.661712845525534,[92 46 17 64  0]
[  1   0 177  95],15,[7],2,[7],2,2,0,1,-0.7066040840543318,-0.3651542926489778,-0.8376470015251994,-0.684425565999344,[56 75 13 64  2]
[  1 111   0 157],2,[7],2,[7],1,3,4,2,1.9117478006263309,-0.8933464390472341,1.3953364977728508,2.1141629236396446,[92 36 13 64  0]
[  1   0 188 237],5,[40],3,[40],7,0,0,1,1.438989821447878,1.068510104717718,1.9829637344302327,3.5134571684591385,[33 41 54 64  0]
[  1   0   0 189],2,[76],2,[76],1,3,0,2,-1.2884600584278125,-0.9688024599612707,-1.0726978961881521,-0.684425565999344,[92 36 98 64  1]
[  1   0 177   6],3,[40],2,[40],8,2,0,0,-1.3611920552244978,-1.119714501789344,-1.0726978961881521,-0.684425565999344,[56 38 54 64  1]
[  1 220 198 242],4,[9],3,[9],1,1,1,2,0.020715883912518822,-0.9310744495042524,-0.8768221506356916,-0.5627478055802575,[34 39 15 64  1]
[  1   0 188 207],3,[44],2,[44],0,0,0,0,-0.27021210327422135,1.7853423034010656,-0.4458955104202783,-0.441070045161171,[33 38 59 64  1]
[  1 230 111 138],15,[9],2,[9],1,4,3,1,1.9117478006263309,-0.28969827173494117,1.9046134362092484,1.140740840286953,[93 75 15 64  3]
[  1   0 177 136],5,[40],3,[40],6,2,0,0,0.49347386309097185,-1.1951705227033806,-0.40672036130978617,-0.1368756441134549,[56 41 54 64  0]
[  1   0 177 163],8,[76],0,[76],2,2,0,2,0.020715883912518822,1.1062381151747362,0.4159577700105481,-0.5627478055802575,[56 50 98 64  0]
[  1 230 177 156],6,[15],2,[15],3,2,3,0,-0.779336080851017,1.294878167459828,-0.4458955104202783,-0.684425565999344,[56 46 22 64  0]
[  1 111 177 189],8,[40],0,[40],6,2,4,1,-0.6702380856559894,-1.0819864913323256,-0.7984718524147073,-0.684425565999344,[56 50 54 64  0]
[  1 220 177 212],11,[49],3,[49],2,2,1,0,-0.9975320712410722,-0.28969827173494117,-0.4458955104202783,-0.684425565999344,[56 65 65 64  1]
[  1 177 198 100],9,[40],3,[40],7,1,2,1,-0.4520420952659342,-1.2706265436174171,0.33760747178956385,-0.1368756441134549,[34 55 54 64  1]
[  1 220 198  56],11,[4],3,[4],3,1,1,2,-1.0702640680377573,-0.9688024599612707,-1.0726978961881521,-0.684425565999344,[34 65 10 64  2]
[  1 111 177 171],12,[51],2,[51],7,2,4,2,-1.2884600584278125,-0.9310744495042524,-1.0726978961881521,-0.684425565999344,[56 67 67 64  1]
[  1 220 111  78],6,[66],2,[66],5,4,1,0,0.05708188231086139,0.9175980628896445,2.3355400764246617,-0.6235866857898008,[93 46 85 64  1]
[  1 177 177 224],6,[70],2,[70],8,2,2,1,-0.5247740920626192,-0.7801624076761792,0.4943080682315324,-0.2585534045325413,[56 46 90 64  0]
[  1 111 188  75],8,[40],0,[40],6,0,4,2,1.9117478006263309,0.9553260733466629,1.3953364977728508,2.418357324687361,[33 50 54 64  0]
[  1 111 177 247],13,[76],2,[76],2,2,4,1,1.511721818244563,-1.0819864913323256,1.1994607522203902,1.0799019600774096,[56 71 98 64  0]
[  1 177 198 250],9,[9],3,[9],1,1,2,0,-1.3611920552244978,-0.138786229906868,-1.0726978961881521,-0.684425565999344,[34 55 15 64  1]
[  1   0 188  98],8,[9],0,[9],6,0,0,0,0.8571338470743972,1.4835182197449193,1.6303873924358032,-0.2585534045325413,[33 50 15 64  1]
[  1 111 198  61],8,[40],0,[40],6,1,4,1,-1.2157280616311275,1.2571501570028096,-1.0726978961881521,-0.684425565999344,[34 50 54 64  1]
[  1   0 198   7],3,[40],2,[40],8,1,0,2,1.9117478006263309,1.3703341883738642,-0.8768221506356916,-0.5627478055802575,[34 38 54 64  1]
[  1 111 177  62],11,[42],3,[42],0,2,4,1,-1.2884600584278125,-1.119714501789344,-1.0726978961881521,-0.684425565999344,[56 65 57 64  1]
[  1 111 188  62],11,[42],3,[42],4,0,4,1,-0.41567609686759166,1.445790209287901,2.49224067286663,3.6959738090877687,[33 65 57 64  0]
[  1   0 177 132],15,[7],2,[7],2,2,0,1,-1.3611920552244978,1.294878167459828,-1.0726978961881521,-0.684425565999344,[56 75 13 64  4]
[  1   0 177  42],5,[11],3,[11],2,2,0,0,-0.37931009846924907,-0.8933464390472341,-0.21084461575732566,0.10647987672471808,[56 41 17 64  0]
[  1 230 111 178],0,[12],1,[12],3,4,3,1,1.511721818244563,1.0307820942606996,-0.2500197648678178,0.41067427777243415,[93 21 18 64  3]
[  1 230   0 239],0,[12],1,[12],3,3,3,1,1.511721818244563,1.558974240658956,0.9644098575574377,1.2624186007060394,[92 21 18 64  0]
[  1 177 111  40],2,[11],2,[11],3,4,2,1,1.03896383906611,-0.7047063867621425,-0.2891949139783098,-0.2585534045325413,[93 36 17 64  1]
[  1 111 188  76],8,[34],0,[34],4,0,4,0,0.784401850277712,0.2762218851203335,0.06338142801611903,0.10647987672471808,[33 50 47 64  1]
[  1   0 188  10],13,[7],2,[7],3,0,0,2,0.9298658438710823,2.0117103661431757,1.787087988877772,1.5666130017537556,[33 71 13 64  0]
[  1   0 111 164],1,[5],1,[5],8,4,0,2,-0.8157020792493596,0.6157739792334982,0.25925717356857975,-0.684425565999344,[93 27 11 64  2]
[  1 111 177 137],3,[28],2,[28],3,2,4,0,-1.1429960648344424,0.8044140315185899,-1.0726978961881521,-0.684425565999344,[56 38 38 64  2]
[  1   0 111 151],15,[76],2,[76],1,4,0,1,-0.8884340760460446,-0.629250365848106,-0.6025961068622467,-0.684425565999344,[93 75 98 64  1]
[  1 220 111 107],6,[50],2,[50],0,4,1,2,-0.7066040840543318,-0.17651424036388633,-0.9943475979671678,-0.684425565999344,[93 46 66 64  0]
[  1   0 111  63],15,[7],2,[7],2,4,0,1,-0.9975320712410722,-0.516066334477051,0.024206278905627102,-0.684425565999344,[93 75 13 64  2]
[  1   0 177   0],16,[13],0,[13],5,2,0,2,-0.9248000744443873,1.2571501570028096,-1.03352274707766,-0.684425565999344,[56 77 19 64  0]
[  1 111 198 133],18,[76],3,[76],8,1,4,2,-0.05201611288416612,-0.28969827173494117,-0.7592967033042152,-0.441070045161171,[ 34 100  98  64   1]
[  1 111 177 108],15,[22],2,[22],2,2,4,0,1.2935258278545076,-0.9310744495042524,-0.5242458086412625,-0.1977145243229981,[56 75 29 64  0]
[  1 230   0 183],0,[5],1,[5],6,3,3,2,0.8207678486760546,0.5025899478624432,1.3561613486623587,1.0799019600774096,[92 21 11 64  0]
[  1 230 177  95],0,[47],1,[47],2,2,3,1,-0.5611400904609617,-1.1951705227033806,-0.17166946664683352,0.41067427777243415,[56 21 62 64  1]
[  1 111 188  55],11,[76],3,[76],3,0,4,2,0.05708188231086139,2.0117103661431757,-0.2891949139783098,-0.5627478055802575,[33 65 98 64  1]
[  1 111 188   2],16,[40],0,[40],4,0,4,0,1.8753818022279884,1.6344302615729926,1.6303873924358032,2.3575184444778174,[33 77 54 64  0]
[  1 111 177  24],13,[40],2,[40],2,2,4,2,-1.1793620632327848,-1.006530470418289,-1.0726978961881521,-0.684425565999344,[56 71 54 64  0]
[  1 230   0  90],14,[37],3,[37],2,3,3,1,0.20254587590423168,-0.28969827173494117,1.9437885853197405,1.384096361125126,[92 72 51 64  1]
[  1 111 198 219],16,[12],0,[12],3,1,4,2,0.9298658438710823,-1.0442584808753073,1.3953364977728508,0.47151315798197746,[34 77 18 64  4]
[  1 220 198  45],4,[9],3,[9],1,1,1,2,1.8026498054313034,-1.119714501789344,-0.17166946664683352,0.04564099651517479,[34 39 15 64  0]
[  1 230   0 100],6,[67],2,[67],2,3,3,1,-1.0702640680377573,-1.0442584808753073,-1.0726978961881521,-0.684425565999344,[92 46 86 64  1]
[  1 230 177 133],6,[7],2,[7],2,2,3,1,-1.3611920552244978,0.6535019896905165,-1.0726978961881521,-0.684425565999344,[56 46 13 64  2]
[  1   0 198 108],3,[39],2,[39],2,1,0,2,-0.30657810167256394,0.08758183283524183,0.29843232267907166,-0.0760367639039116,[34 38 53 64  0]
[  1 177 111  49],15,[45],2,[45],7,4,2,0,-0.7066040840543318,0.42713392694840646,1.1994607522203902,-0.684425565999344,[93 75 60 64  0]
[  1   0 188 187],3,[40],2,[40],8,0,0,2,-0.05201611288416612,0.04985382237822349,1.434511646883343,0.8365464392392368,[33 38 54 64  1]
[  1   0 177 169],12,[76],2,[76],2,2,0,1,0.020715883912518822,-1.2706265436174171,-0.40672036130978617,-0.1368756441134549,[56 67 98 64  0]
[  1 230 111  56],6,[9],2,[9],1,4,3,2,-0.6702380856559894,-0.9688024599612707,-0.7984718524147073,-0.684425565999344,[93 46 15 64  1]
[  1 230   0 212],0,[5],1,[5],6,3,3,2,1.1844278326594804,0.4648619374054248,0.024206278905627102,0.5323520381915208,[92 21 11 64  2]
[  1 177   0  71],0,[43],1,[43],8,3,2,2,0.9298658438710823,2.0117103661431757,1.7087376906567875,1.444935241334669,[92 21 58 64  0]
[  1 111 198  39],16,[12],0,[12],3,1,4,2,-1.3248260568261552,-1.1951705227033806,-1.0726978961881521,-0.684425565999344,[34 77 18 64  1]
[  1 230 177 164],6,[76],2,[76],8,2,3,2,-0.7429700824526744,-0.21424225082090467,0.4159577700105481,-0.684425565999344,[56 46 98 64  0]
[  1   0 198 246],10,[59],3,[59],1,1,0,1,-0.3429441000709065,-0.8556184285902159,-0.9551724488566757,-0.6235866857898008,[34 61 78 64  0]
[  1 111 198  61],11,[5],3,[5],1,1,4,2,-0.30657810167256394,-0.10105821944984966,0.376782620900056,-0.3193922847420846,[34 65 11 64  1]
[  1 220   0 231],14,[11],3,[11],8,3,1,1,1.0753298374644527,0.9553260733466629,-0.36754521219929415,-0.6235866857898008,[92 72 17 64  1]
[  1 220 198  86],5,[23],3,[23],5,1,1,1,1.4026238230495354,-0.9310744495042524,-0.4458955104202783,-0.0760367639039116,[34 41 30 64  0]
[  1 111   0 102],6,[31],2,[31],1,3,4,1,1.220793831057823,1.936254345229139,1.2386359013308823,2.2966795642682745,[92 46 43 64  0]
[  1 220 177 159],5,[23],3,[23],3,2,1,0,-0.779336080851017,-0.6669783763051244,-0.36754521219929415,-0.684425565999344,[56 41 30 64  0]
[  1 111 111 118],2,[7],2,[7],1,4,4,0,-1.0702640680377573,-0.06333020899283132,-1.0726978961881521,-0.684425565999344,[93 36 13 64  0]
[  1 209 177 149],16,[14],0,[14],3,2,5,2,0.020715883912518822,0.5780459687764798,-0.7201215541937231,-0.441070045161171,[56 77 20 64  1]
[  1 177 111  15],15,[57],2,[57],5,4,2,2,-0.9248000744443873,0.2762218851203335,-0.36754521219929415,-0.684425565999344,[93 75 74 64  1]
[  1 177 198  67],10,[40],3,[40],7,1,2,0,0.2752778727009168,-0.5537943449340693,-0.13249431753634147,-0.5019089253707143,[34 61 54 64  0]
[  1 230 198 231],7,[9],3,[9],6,1,3,1,-1.3248260568261552,1.068510104717718,-1.0726978961881521,-0.684425565999344,[34 48 15 64  1]
[  1 220 111 220],0,[25],1,[25],4,4,1,1,-1.3611920552244978,2.0117103661431757,-1.0726978961881521,-0.684425565999344,[93 21 32 64  0]
[  1 111 177 209],11,[9],3,[9],2,2,4,2,-0.48840809366427657,-0.40288230310599615,1.3561613486623587,0.5323520381915208,[56 65 15 64  0]
[  1 220 111  29],0,[25],1,[25],4,4,1,1,0.49347386309097185,-0.8933464390472341,-0.328370063088802,-0.1977145243229981,[93 21 32 64  1]
[  1   0 198 249],5,[40],3,[40],7,1,0,0,-1.0702640680377573,-0.8556184285902159,-1.0726978961881521,-0.684425565999344,[34 41 54 64  1]
